SCHOOL NO.,ENGLISH CATEGORY,ENGLISH NAME,ENGLISH ADDRESS,LONGITUDE,LATITUDE,EASTING,NORTHING,STUDENTS GENDER,SESSION,DISTRICT
316628000133 ,Aided Secondary Schools,CATHOLIC MING YUEN SECONDARY SCHOOL,STANDARD SCHOOL NO. 1 HAU TAK ESTATE PHASE I TSEUNG KWAN O SAI KUNG NEW TERRITORIES,114-15-51,22-19-4,845258,819862,CO-ED,WHOLE DAY,SAI KUNG
213764000133 ,Aided Secondary Schools,KOWLOON TONG SCHOOL (SECONDARY SECTION),10 SURREY LANE KOWLOON TONG KOWLOON,114-10-33,22-19-43,836162,821077,CO-ED,WHOLE DAY,KOWLOON CITY
211990000233 ,Aided Secondary Schools,CCC KEI TO SEC SCH,28 SUNG ON STREET TOKWAWAN KOWLOON,114-11-25,22-18-49,837661,819403,CO-ED,WHOLE DAY,KOWLOON CITY
529656000133 ,Aided Secondary Schools,LING LIANG CHURCH M H LAU SECONDARY SCH,3 YUNG YI ROAD TAI PO NEW TERRITORIES,114-10-39,22-26-25,836336,833426,CO-ED,WHOLE DAY,TAI PO
514101000133 ,Aided Secondary Schools,ST LOUIS SCHOOL,179 THIRD STREET HONG KONG,114-8-15,22-17-10,832216,816346,BOYS,WHOLE DAY,CENTRAL AND WESTERN
311863000133 ,Aided Secondary Schools,HK AND MACAU LU CH QUEEN MAUD SEC SCH,PHASE 3 HAU TAK ESTATE TSEUNG KWAN O NEW TERRITORIES,114-16-2,22-19-3,845580.6,819831.3,CO-ED,WHOLE DAY,SAI KUNG
135712000133 ,Aided Secondary Schools,ELCHK LUTHERAN SECONDARY SCHOOL,52 WATERLOO ROAD KOWLOON,114-10-20,22-18-47,835776,819354,CO-ED,WHOLE DAY,YAU TSIM MONG
522074000233 ,Aided Secondary Schools,HO YU COLL & PRI (SPON BY SIK SIK YUEN),"4-6, KIN TUNG ROAD TUNG CHUNG NEW TERRITORIES",113-56-57,22-17-38,812810,817234,CO-ED,WHOLE DAY,ISLANDS
512710000133 ,Aided Secondary Schools,LOK SIN TONG WONG CHUNG MING SEC SCH,161 LOK SIN ROAD KOWLOON,114-11-40,22-20-2,838085,821650,CO-ED,WHOLE DAY,WONG TAI SIN
284939000133 ,Aided Secondary Schools,COTTON SPINNERS ASSOCIATION SEC SCHOOL,BLOCKS A B C & HALL BLOCK 350 KWAI SHING CIRCUIT KWAI CHUNG NEW TERRITORIES,114-7-45,22-21-45,831347.1,824826.2,CO-ED,WHOLE DAY,KWAI TSING
